Commit SHA,Java File,Old function signature,New function signature
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b,InfoConfiguration.java,import org.springframework.bootstrap.actuate.info.InfoEndpoint;,import org.springframework.bootstrap.actuate.endpoint.info.InfoEndpoint;
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b,ManagementServerConfiguration.java,import org.springframework.bootstrap.actuate.error.ErrorEndpoint;,import org.springframework.bootstrap.actuate.endpoint.error.ErrorEndpoint;
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b,ServerConfiguration.java,import org.springframework.bootstrap.actuate.error.ErrorEndpoint;,import org.springframework.bootstrap.actuate.endpoint.error.ErrorEndpoint;
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b,ShutdownConfiguration.java,import org.springframework.bootstrap.actuate.shutdown.ShutdownEndpoint;,import org.springframework.bootstrap.actuate.endpoint.shutdown.ShutdownEndpoint;
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b,TraceConfiguration.java,import org.springframework.bootstrap.actuate.trace.TraceEndpoints;,import org.springframework.bootstrap.actuate.endpoint.trace.TraceEndpoints;
ad2e311f2f150cdb533e7b582c777136fed4a060,OnClassCondition.java,"						logger.debug(""Found class: "" + className","						logger.debug(""Class not found: "" + className"
74fffeba73b0e7d491b92e4692ace17a6a457d5a,LoggingInitializerTests.java,import org.springframework.bootstrap.context.initializer.LoggingInitializer;,import org.springframework.bootstrap.context.initializer.LoggingApplicationContextInitializer;
2dc296caa9bccb3bd64807b843e578b6cee18c3e,HibernateJpaAutoConfiguration.java,import org.springframework.bootstrap.autoconfigure.jdbc.EmbeddedDatabaseAutoConfiguration;,import org.springframework.bootstrap.autoconfigure.jdbc.EmbeddedDatabaseConfiguration;
2dc296caa9bccb3bd64807b843e578b6cee18c3e,JpaAutoConfiguration.java,import org.springframework.bootstrap.autoconfigure.jdbc.EmbeddedDatabaseAutoConfiguration;,import org.springframework.bootstrap.autoconfigure.jdbc.EmbeddedDatabaseConfiguration;
2dc296caa9bccb3bd64807b843e578b6cee18c3e,JpaRepositoriesAutoConfigurationTests.java,import org.springframework.bootstrap.autoconfigure.jdbc.EmbeddedDatabaseAutoConfiguration;,import org.springframework.bootstrap.autoconfigure.jdbc.EmbeddedDatabaseConfiguration;
369b0834a0aa018fb17081fe81d95a09b553f266,HibernateJpaAutoConfiguration.java,import org.springframework.bootstrap.autoconfigure.jdbc.EmbeddedDatabaseConfiguration;,import org.springframework.beans.factory.annotation.Value;
bd5fea0d8c681073683f90070629acaebfb26f17,SecurityConfiguration.java,import org.springframework.security.config.annotation.web.SpringSecurityFilterChainBuilder.IgnoredRequestRegistry;,import org.springframework.security.config.annotation.web.WebSecurityConfiguration;
5f7f69ad9308fc7497b8ab3d00fe30eb9f947091,ActuatorWebConfiguration.java,import org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport;,import org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration;
19d8315639544867a65072846959958ad80e1bb7,SecurityConfiguration.java,import org.springframework.security.config.annotation.authentication.AuthenticationBuilder;,import org.springframework.security.config.annotation.authentication.AuthenticationManagerBuilder;
19d8315639544867a65072846959958ad80e1bb7,SecurityConfiguration.java,import org.springframework.security.config.annotation.web.HttpConfigurator;,import org.springframework.security.config.annotation.web.HttpConfiguration;
b7c0e3279e8f6cf539601a18f9b86b2a72db8cdc,InfoConfiguration.java,import org.springframework.beans.factory.annotation.Qualifier;,import org.springframework.beans.factory.annotation.Value;
b7c0e3279e8f6cf539601a18f9b86b2a72db8cdc,InfoConfiguration.java,import org.springframework.core.io.ClassPathResource;,import org.springframework.core.io.Resource;
b7c0e3279e8f6cf539601a18f9b86b2a72db8cdc,MetricsConfiguration.java,import org.springframework.bootstrap.actuate.endpoint.metrics.VarzEndpoint;,import org.springframework.bootstrap.actuate.endpoint.metrics.MetricsEndpoint;
b7c0e3279e8f6cf539601a18f9b86b2a72db8cdc,EmbeddedContainerCustomizerConfiguration.java,import org.springframework.beans.factory.annotation.Autowired;,import org.springframework.beans.factory.ListableBeanFactory;
514cf3dcc14b4d6367eeb28e38b703af86366cb9,SecurityConfiguration.java,import org.springframework.beans.factory.annotation.Value;,import org.springframework.bootstrap.actuate.properties.EndpointsProperties;
d950d15f9b121ef1c0c4948543dc3d4836f66c4f,DefaultCommandFactory.java,package org.springframework.bootstrap.cli;,import java.util.Arrays;
d950d15f9b121ef1c0c4948543dc3d4836f66c4f,OptionParsingCommand.java,import joptsimple.OptionSet;,
