Commit SHA,Java File,Old function signature,New function signature
aa423afe518e998fb0a70c987e529f3b4af954f5,JRubyAdaptor.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,Observable.java,import org.rx.operations.OperationZip;,
aa423afe518e998fb0a70c987e529f3b4af954f5,AtomicObservableSubscription.java,import org.rx.reactive.Subscription;,import rx.observables.Subscription;
aa423afe518e998fb0a70c987e529f3b4af954f5,AtomicObserver.java,import org.rx.reactive.Observer;,import rx.observables.Observer;
aa423afe518e998fb0a70c987e529f3b4af954f5,AtomicObserverMultiThreaded.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,AtomicObserverSingleThreaded.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationCombineLatest.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationFilter.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationLast.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationMap.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationMaterialize.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationMerge.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationMergeDelayError.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationOnErrorResumeNextViaFunction.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationOnErrorResumeNextViaObservable.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationOnErrorReturn.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationScan.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationSkip.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationSynchronize.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationTake.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationToObservableFunction.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationToObservableIterable.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationToObservableList.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationToObservableSortedList.java,import org.rx.reactive.Subscription;,
aa423afe518e998fb0a70c987e529f3b4af954f5,OperationZip.java,import org.rx.reactive.Subscription;,
e9d98fc0b6cb9931e0fb85b21030702a27de22b9,JRubyAdaptor.java,"            b.append(""import org.rx.reactive.Observable"").append(""\n"");","            b.append(""import \""rx.observables.Observable\"""").append(""\n"");"
c11126d5484e36df5738719090a87d793e0dfc41,ClojureAdaptor.java,import org.rx.reactive.Observer;,
c11126d5484e36df5738719090a87d793e0dfc41,GroovyAdaptor.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,JRubyAdaptor.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,JRubyAdaptor.java,"            b.append(""import org.rx.reactive.Observable"").append(""\n"");","            b.append(""import \""rx.observables.Observable\"""").append(""\n"");"
c11126d5484e36df5738719090a87d793e0dfc41,Observable.java,import org.rx.operations.OperationZip;,
c11126d5484e36df5738719090a87d793e0dfc41,AtomicObservableSubscription.java,import org.rx.reactive.Subscription;,import rx.observables.Subscription;
c11126d5484e36df5738719090a87d793e0dfc41,AtomicObserver.java,import org.rx.reactive.Observer;,import rx.observables.Observer;
c11126d5484e36df5738719090a87d793e0dfc41,AtomicObserverMultiThreaded.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,AtomicObserverSingleThreaded.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationCombineLatest.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationFilter.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationLast.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationMap.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationMaterialize.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationMerge.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationMergeDelayError.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationOnErrorResumeNextViaFunction.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationOnErrorResumeNextViaObservable.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationOnErrorReturn.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationScan.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationSkip.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationSynchronize.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationTake.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationToObservableFunction.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationToObservableIterable.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationToObservableList.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationToObservableSortedList.java,import org.rx.reactive.Subscription;,
c11126d5484e36df5738719090a87d793e0dfc41,OperationZip.java,import org.rx.reactive.Subscription;,
787d8fc0215c5bab541f61c2d69a91753d462559,ClojureAdaptor.java,import rx.util.FunctionLanguageAdaptor;,import rx.util.functions.FunctionLanguageAdaptor;
787d8fc0215c5bab541f61c2d69a91753d462559,GroovyAdaptor.java,import rx.util.FunctionLanguageAdaptor;,import rx.util.functions.FunctionLanguageAdaptor;
787d8fc0215c5bab541f61c2d69a91753d462559,JRubyAdaptor.java,import rx.util.FunctionLanguageAdaptor;,import rx.util.functions.FunctionLanguageAdaptor;
787d8fc0215c5bab541f61c2d69a91753d462559,Observable.java,import rx.util.Functions;,import rx.util.AtomicObservableSubscription;
787d8fc0215c5bab541f61c2d69a91753d462559,OperationCombineLatest.java,import rx.util.Functions;,import rx.util.functions.Func1;
787d8fc0215c5bab541f61c2d69a91753d462559,OperationFilter.java,import rx.util.Func1;,import rx.util.functions.Func1;
787d8fc0215c5bab541f61c2d69a91753d462559,OperationMap.java,import rx.util.Func1;,import rx.util.functions.Func1;
